Header,Length,phage_score,chromosome_score,plasmid_score,Possible_source
NODE_1_length_170947_cov_11.607934,170947,0.662703214293131,0.150587649000168,0.186709139190329,phage
NODE_2_length_123929_cov_12.537215,123929,0.766364561615563,0.142133605561257,0.0915018382515367,phage
NODE_3_length_65580_cov_9.171339,65580,0.228164091113738,0.460999039825724,0.310836868046221,chromosome
NODE_4_length_59687_cov_8.073182,59687,0.589488751008051,0.187901044012746,0.222610203176445,phage
NODE_5_length_56341_cov_17.934087,56341,0.58310331717038,0.0986118649959022,0.318284817048694,phage
NODE_6_length_54722_cov_28.131615,54722,0.914166673344492,0.0218034041959285,0.0640299175857957,phage
NODE_7_length_54062_cov_13.376581,54062,0.838473039496589,0.0632613891315642,0.0982655531695838,phage
NODE_8_length_51666_cov_10.753638,51666,0.575240303374738,0.105727459919166,0.319032240041109,phage
NODE_9_length_51657_cov_10.816306,51657,0.508332398987545,0.238475572844699,0.253192024719228,phage
NODE_10_length_48940_cov_6.300767,48940,0.907213766159795,0.0303047772121788,0.0624814625198332,phage
NODE_11_length_47620_cov_11.263786,47620,0.832133566654815,0.0443108972867624,0.123555526139265,phage
NODE_12_length_44911_cov_10.944110,44911,0.249613626956281,0.399310955482676,0.351075423682626,chromosome
NODE_13_length_39608_cov_28.662579,39608,0.764324463604436,0.0468066260973191,0.188868902783974,phage
NODE_14_length_39479_cov_12.359933,39479,0.708684383712024,0.0594617029914654,0.231853917545034,phage
NODE_15_length_39149_cov_13.652376,39149,0.659574761601158,0.0774220351586481,0.26300320889799,phage
NODE_16_length_38573_cov_6.385145,38573,0.786395948503399,0.0155194907150416,0.198084558607059,phage
NODE_17_length_38367_cov_28.014330,38367,0.940973207169286,0.0038941412941447,0.0551326394765521,phage
NODE_18_length_36272_cov_5.244139,36272,0.937139024477359,0.0321172470054654,0.0307437383508918,phage
NODE_19_length_35998_cov_7.326934,35998,0.380857682616337,0.342969304178233,0.2761730156937,phage
NODE_20_length_34817_cov_5.550659,34817,0.410598389442288,0.0397319563996426,0.549669661074872,plasmid
NODE_21_length_34709_cov_5.928868,34709,0.924034410845444,0.0252309368006174,0.0507346561288335,phage
NODE_22_length_34439_cov_18.249651,34439,0.415266175042524,0.505340516781557,0.0793933089104335,chromosome
NODE_23_length_34289_cov_11.439183,34289,0.519092425986327,0.200023023048028,0.280884552523591,phage
NODE_24_length_30492_cov_26.495910,30492,0.947770912175289,0.0256886036952254,0.0265404780666169,phage
NODE_25_length_28372_cov_17.527598,28372,0.697354489533803,0.0396852276244712,0.262960261652419,phage
NODE_26_length_27733_cov_24.989703,27733,0.8941604956725,0.0113207018734457,0.0945187866467243,phage
NODE_27_length_27212_cov_23.238723,27212,0.729758924938652,0.187387500615049,0.0828535721998413,phage
NODE_28_length_26702_cov_6.660262,26702,0.805512082705327,0.0867486496250371,0.107739268409319,phage
NODE_29_length_26260_cov_4.603816,26260,0.947706525823313,0.0367330122469489,0.0155604624647678,phage
NODE_30_length_26086_cov_10.793976,26086,0.95645727206801,0.00092264936520927,0.0426200878559883,phage
NODE_31_length_24414_cov_6.675110,24414,0.757210319484114,0.135925004954985,0.106864676162042,phage
NODE_32_length_24024_cov_13.833785,24024,0.670503780082032,0.0967174853112401,0.232778715799664,phage
NODE_33_length_22287_cov_4.304201,22287,0.964157587932472,0.0113151996938235,0.0245272343596703,phage
NODE_34_length_21921_cov_25.004299,21921,0.55913002851627,0.279589773297416,0.161280184731396,phage
NODE_35_length_21840_cov_28.823548,21840,0.387492427223741,0.274607574098979,0.337899998423981,phage
NODE_36_length_21647_cov_25.221702,21647,0.651446264081421,0.109934992498656,0.238618732261433,phage
NODE_37_length_21238_cov_17.430864,21238,0.14508193878755,0.416598567367442,0.438319480579691,plasmid
NODE_38_length_21196_cov_23.153351,21196,0.230144339839725,0.554450996269323,0.215404651589463,chromosome
NODE_39_length_20306_cov_22.618735,20306,0.370876797088834,0.304602711987733,0.324520490208682,phage
NODE_40_length_20269_cov_23.672356,20269,0.727115869667658,0.0832822514269489,0.189601883381889,phage
NODE_41_length_19994_cov_30.783891,19994,0.66716611362987,0.128030615660023,0.204803284772267,phage
NODE_42_length_19512_cov_4.576399,19512,0.433094269317674,0.125053569046737,0.441852147142239,plasmid
NODE_43_length_19511_cov_5.772050,19511,0.500100651514685,0.225059135330065,0.274840217618877,phage
NODE_44_length_19097_cov_32.224504,19097,0.917521792556276,0.0315764969429962,0.0509017152643377,phage
NODE_45_length_19034_cov_17.051583,19034,0.899602786249832,0.042495459431139,0.057901764175114,phage
NODE_46_length_18137_cov_5.287745,18137,0.790195110570558,0.0906734908870879,0.119131392512943,phage
