,Genome,Order,Family,Genus,VC,VC Status,Size,VC Subcluster,VC Subcluster Size,Quality,Adj P-value,Topology Confidence Score,Genera in VC,Families in VC,Orders in VC,Genus Confidence Score
0,Achromobacter~phage~83-24,Caudovirales,Siphoviridae,Jwxvirus,0_0,Clustered,2,VC_0_0,2,0.1935,0.90454986,0.1751,1,1,1,1.0
1,Achromobacter~phage~JWAlpha,Caudovirales,Podoviridae,Jwalphavirus,7_1,Clustered,11,VC_7_1,11,0.4769,1.0,0.4769,3,1,1,0.9818
2,Achromobacter~phage~JWX,Caudovirales,Siphoviridae,Jwxvirus,0_0,Clustered,2,VC_0_0,2,0.1935,0.90454986,0.1751,1,1,1,1.0
3,Achromobacter~phage~phiAxp-1,Caudovirales,Siphoviridae,Unassigned,1_0,Clustered,12,VC_1_0,12,0.7004,1.0,0.7004,4,1,1,1.0
4,Achromobacter~phage~phiAxp-3,Caudovirales,Podoviridae,Jwalphavirus,7_1,Clustered,11,VC_7_1,11,0.4769,1.0,0.4769,3,1,1,0.9818
5,Acidianus~bottle-shaped~virus,Unassigned,Ampullaviridae,Ampullavirus,16_0,Clustered,3,VC_16_0,3,1.0,0.0,0.0,1,1,1,1.0
6,Acidianus~bottle-shaped~virus~2,Unassigned,Ampullaviridae,Ampullavirus,16_0,Clustered,3,VC_16_0,3,1.0,0.0,0.0,1,1,1,1.0
7,Acidianus~bottle-shaped~virus~3,Unassigned,Ampullaviridae,Ampullavirus,16_0,Clustered,3,VC_16_0,3,1.0,0.0,0.0,1,1,1,1.0
8,Acidianus~filamentous~virus~3,Ligamenvirales,Lipothrixviridae,Betalipothrixvirus,18_0,Clustered,6,VC_18_0,6,0.9552,0.99999592,0.9552,1,1,1,1.0
9,Acidianus~filamentous~virus~6,Ligamenvirales,Lipothrixviridae,Betalipothrixvirus,18_0,Clustered,6,VC_18_0,6,0.9552,0.99999592,0.9552,1,1,1,1.0
10,Acidianus~filamentous~virus~7,Ligamenvirales,Lipothrixviridae,Betalipothrixvirus,18_0,Clustered,6,VC_18_0,6,0.9552,0.99999592,0.9552,1,1,1,1.0
11,Acidianus~filamentous~virus~8,Ligamenvirales,Lipothrixviridae,Betalipothrixvirus,18_0,Clustered,6,VC_18_0,6,0.9552,0.99999592,0.9552,1,1,1,1.0
