"protein"	"targetcluster"	"annotcluster"	"categorycluster"	"cluster.ref"	"targetsingle"	"annotsingle"	"categorysingle"	"annot"
"bin_22||F1T2_NODE_7_length_14206_cov_35.101618_10"	"phrog_11589"	"major head protein"	"head and packaging"	"YP_010112795.1"	"phrog_11589"	"major head protein"	"head and packaging"	"major head protein"
"bin_62||F3M_NODE_2_length_96186_cov_32.177903_26"	"phrog_11589"	"major head protein"	"head and packaging"	"YP_010112795.1"	"phrog_11589"	"major head protein"	"head and packaging"	"major head protein"
"bin_78||F4M_NODE_11_length_20080_cov_5.793358_6"	"phrog_148"	"RecT-like ssDNA annealing protein"	"DNA, RNA and nucleotide metabolism"	"YP_010052853.1"	"phrog_148"	"RecT-like ssDNA annealing protein"	"DNA, RNA and nucleotide metabolism"	"RecT-like ssDNA annealing protein"
"bin_11||F2T2_NODE_32_length_4920_cov_4.094347_1"	"phrog_5653"	"terminase large subunit"	"head and packaging"	"YP_007173602.1"	"phrog_5653"	"terminase large subunit"	"head and packaging"	"terminase large subunit"
"bin_22||F1T2_NODE_3_length_67878_cov_24.094643_5"	"phrog_16705"	NA	"unknown function"	"YP_010110855.1"	"phrog_32940"	NA	"unknown function"	"NA"
"bin_38||F2M_NODE_42_length_8193_cov_14.303391_1"	"phrog_7231"	"virion structural protein"	"head and packaging"	"YP_006560633.1"	"phrog_7231"	"virion structural protein"	"head and packaging"	"virion structural protein"
"bin_38||F2T1_NODE_8_length_6558_cov_4.971552_7"	"phrog_7231"	"virion structural protein"	"head and packaging"	"YP_006560633.1"	"phrog_7231"	"virion structural protein"	"head and packaging"	"virion structural protein"
"bin_23||F2M_NODE_18_length_13684_cov_7.727273_1"	"phrog_1383"	"virion structural protein"	"head and packaging"	"bin_23||F2M_NODE_18_length_13684_cov_7.727273_1"	"phrog_1383"	"virion structural protein"	"head and packaging"	"virion structural protein"
"bin_17||F2M_NODE_27_length_10346_cov_5.090565_12"	"phrog_6095"	"amidase"	"lysis"	"bin_17||F2M_NODE_27_length_10346_cov_5.090565_12"	"phrog_129"	"transcriptional regulator"	"transcription regulation"	"transcriptional regulator"
"bin_39||F4T1_NODE_28_length_4911_cov_12.090404_5"	"phrog_6095"	"amidase"	"lysis"	"bin_17||F2M_NODE_27_length_10346_cov_5.090565_12"	"phrog_129"	"transcriptional regulator"	"transcription regulation"	"transcriptional regulator"
"bin_87||F4M_NODE_3_length_55935_cov_12.067484_53"	"phrog_6095"	"amidase"	"lysis"	"bin_17||F2M_NODE_27_length_10346_cov_5.090565_12"	"phrog_129"	"transcriptional regulator"	"transcription regulation"	"transcriptional regulator"
"bin_96||F4T2_NODE_5_length_24255_cov_7.660165_5"	"phrog_6095"	"amidase"	"lysis"	"bin_17||F2M_NODE_27_length_10346_cov_5.090565_12"	"phrog_129"	"transcriptional regulator"	"transcription regulation"	"transcriptional regulator"
"bin_04||F1M_NODE_3_length_59487_cov_7.401148_56"	"phrog_6095"	"amidase"	"lysis"	"bin_17||F2M_NODE_27_length_10346_cov_5.090565_12"	"phrog_129"	"transcriptional regulator"	"transcription regulation"	"transcriptional regulator"
"bin_20||F4M_NODE_45_length_2150_cov_3.336993_4"	"phrog_825"	NA	"unknown function"	"NP_958689.1"	"phrog_825"	NA	"unknown function"	"NA"
"bin_38||F2T1_NODE_4_length_14783_cov_5.242260_16"	"phrog_959"	"HNH endonuclease"	"DNA, RNA and nucleotide metabolism"	"YP_010111137.1"	"phrog_1492"	"HNH endonuclease"	"DNA, RNA and nucleotide metabolism"	"HNH endonuclease"
"bin_38||F2M_NODE_62_length_6069_cov_13.771866_8"	"phrog_959"	"HNH endonuclease"	"DNA, RNA and nucleotide metabolism"	"YP_010111137.1"	"phrog_59"	"HNH endonuclease"	"DNA, RNA and nucleotide metabolism"	"HNH endonuclease"
"bin_53||F2T2_NODE_13_length_17782_cov_7.428668_15"	"phrog_959"	"HNH endonuclease"	"DNA, RNA and nucleotide metabolism"	"YP_010111137.1"	"phrog_59"	"HNH endonuclease"	"DNA, RNA and nucleotide metabolism"	"HNH endonuclease"
"bin_36||F2M_NODE_36_length_9459_cov_25.542960_7"	"phrog_6721"	NA	"unknown function"	"YP_010082911.1"	"phrog_6721"	NA	"unknown function"	"NA"
"bin_25||F2M_NODE_35_length_9690_cov_6.026362_5"	"phrog_6721"	NA	"unknown function"	"YP_010082911.1"	"phrog_6721"	NA	"unknown function"	"NA"
"bin_35||F2M_NODE_11_length_20357_cov_5.705743_15"	"phrog_314"	"homing endonuclease"	"DNA, RNA and nucleotide metabolism"	"YP_010111344.1"	"phrog_314"	"homing endonuclease"	"DNA, RNA and nucleotide metabolism"	"homing endonuclease"
"bin_78||F4M_NODE_11_length_20080_cov_5.793358_24"	"phrog_1145"	NA	"unknown function"	"YP_009287749.1"	"phrog_1145"	NA	"unknown function"	"NA"
"bin_22||F1T2_NODE_6_length_14301_cov_30.775095_3"	"phrog_14010"	NA	"unknown function"	"YP_010110328.1"	"phrog_14010"	NA	"unknown function"	"NA"
